combination,loss,epoch,training_encoder_time
"[16, 2, 16, [16], 'tanh', 0.95, 0.9, 0.95]",0.481657579,1000,3386
"[16, 2, 16, [16], 'tanh', 0.95, 0.9, 0.9]",0.331394186,1000,3366
"[16, 2, 16, [16], 'tanh', 0.9, 0.9, 0.95]",1.320164307,318,1050
"[16, 2, 16, [16], 'tanh', 0.9, 0.9, 0.9]",0.390759859,1000,3284
"[16, 2, 16, [16], 'sigmoid', 0.95, 0.9, 0.95]",0.475150492,1000,3296
"[16, 2, 16, [16], 'sigmoid', 0.95, 0.9, 0.9]",0.828625312,1000,3306
"[16, 2, 16, [16], 'sigmoid', 0.9, 0.9, 0.95]",0.727064337,810,2672
"[16, 2, 16, [16], 'sigmoid', 0.9, 0.9, 0.9]",0.297958414,1000,3261
"[16, 2, 16, [32], 'tanh', 0.95, 0.9, 0.95]",1.943452418,967,3443
"[16, 2, 16, [32], 'tanh', 0.95, 0.9, 0.9]",1.100788932,464,1697
"[16, 2, 16, [32], 'tanh', 0.9, 0.9, 0.95]",1.041470928,61,212
"[16, 2, 16, [32], 'tanh', 0.9, 0.9, 0.9]",0.291604338,1000,3465
"[16, 2, 16, [32], 'sigmoid', 0.95, 0.9, 0.95]",0.938646963,172,600
"[16, 2, 16, [32], 'sigmoid', 0.95, 0.9, 0.9]",1.804540049,593,2071
"[16, 2, 16, [32], 'sigmoid', 0.9, 0.9, 0.95]",0.292904027,1000,3522
"[16, 2, 16, [32], 'sigmoid', 0.9, 0.9, 0.9]",0.354703377,370,1307
"[16, 2, 16, [8, 4], 'tanh', 0.95, 0.9, 0.95]",1.168493934,444,-83864
"[16, 2, 16, [8, 4], 'tanh', 0.95, 0.9, 0.9]",0.287747558,1000,5663
"[16, 2, 16, [8, 4], 'tanh', 0.9, 0.9, 0.95]",1.100568101,1000,5552
"[16, 2, 16, [8, 4], 'tanh', 0.9, 0.9, 0.9]",1.061548521,388,2156
"[16, 2, 16, [8, 4], 'sigmoid', 0.95, 0.9, 0.95]",1.196708105,860,4737
"[16, 2, 16, [8, 4], 'sigmoid', 0.95, 0.9, 0.9]",0.543811925,1000,5445
"[16, 2, 16, [8, 4], 'sigmoid', 0.9, 0.9, 0.95]",1.182007826,768,4326
"[16, 2, 16, [8, 4], 'sigmoid', 0.9, 0.9, 0.9]",0.404269791,118,682
"[16, 2, 16, [16, 8], 'tanh', 0.95, 0.9, 0.95]",0.404105005,1000,5671
"[16, 2, 16, [16, 8], 'tanh', 0.95, 0.9, 0.9]",1.251470543,726,4085
"[16, 2, 16, [16, 8], 'tanh', 0.9, 0.9, 0.95]",1.872634996,179,1008
"[16, 2, 16, [16, 8], 'tanh', 0.9, 0.9, 0.9]",2.461677072,1000,5643
"[16, 2, 16, [16, 8], 'sigmoid', 0.95, 0.9, 0.95]",1.298099287,322,1848
"[16, 2, 16, [16, 8], 'sigmoid', 0.95, 0.9, 0.9]",0.313856862,1000,5600
"[16, 2, 16, [16, 8], 'sigmoid', 0.9, 0.9, 0.95]",1.268830464,540,2960
"[16, 2, 16, [16, 8], 'sigmoid', 0.9, 0.9, 0.9]",0.980125316,603,3273
"[16, 2, 32, [16], 'tanh', 0.95, 0.9, 0.95]",0.997169391,232,393
"[16, 2, 32, [16], 'tanh', 0.95, 0.9, 0.9]",0.307736538,155,264
"[16, 2, 32, [16], 'tanh', 0.9, 0.9, 0.95]",0.678685049,1000,1701
"[16, 2, 32, [16], 'tanh', 0.9, 0.9, 0.9]",0.630563994,1000,1681
"[16, 2, 32, [16], 'sigmoid', 0.95, 0.9, 0.95]",0.326019103,1000,1697
"[16, 2, 32, [16], 'sigmoid', 0.95, 0.9, 0.9]",1.356888821,68,118
"[16, 2, 32, [16], 'sigmoid', 0.9, 0.9, 0.95]",0.29277929,1000,1690
"[16, 2, 32, [16], 'sigmoid', 0.9, 0.9, 0.9]",2.359518216,56,95
"[16, 2, 32, [32], 'tanh', 0.95, 0.9, 0.95]",0.708045564,459,854
"[16, 2, 32, [32], 'tanh', 0.95, 0.9, 0.9]",0.834374711,446,829
"[16, 2, 32, [32], 'tanh', 0.9, 0.9, 0.95]",0.617239741,523,978
"[16, 2, 32, [32], 'tanh', 0.9, 0.9, 0.9]",0.345917778,1000,1856
"[16, 2, 32, [32], 'sigmoid', 0.95, 0.9, 0.95]",0.432211652,688,1283
"[16, 2, 32, [32], 'sigmoid', 0.95, 0.9, 0.9]",0.301181292,684,1285
