combination,loss,epoch
"[16, 2, 16, [16], 'tanh']",0.462167891,500
"[16, 2, 16, [16], 'sigmoid']",2.189507786,7
"[16, 2, 16, [32], 'tanh']",0.333636315,500
"[16, 2, 16, [32], 'sigmoid']",2.235947969,9
"[16, 2, 16, [8, 4], 'tanh']",1.116011877,26
"[16, 2, 16, [8, 4], 'sigmoid']",0.765517446,25
"[16, 2, 16, [16, 8], 'tanh']",0.919901065,82
"[16, 2, 16, [16, 8], 'sigmoid']",0.428830154,500
"[16, 2, 32, [16], 'tanh']",0.292509759,500
"[16, 2, 32, [16], 'sigmoid']",2.474252947,13
"[16, 2, 32, [32], 'tanh']",0.400771146,35
"[16, 2, 32, [32], 'sigmoid']",0.602371355,9
"[16, 2, 32, [8, 4], 'tanh']",0.366263524,390
"[16, 2, 32, [8, 4], 'sigmoid']",1.816835126,11
"[16, 2, 32, [16, 8], 'tanh']",0.632288749,29
"[16, 2, 32, [16, 8], 'sigmoid']",0.677710219,11
"[16, 4, 16, [16], 'tanh']",1.076894748,24
"[16, 4, 16, [16], 'sigmoid']",0.313213445,500
"[16, 4, 16, [32], 'tanh']",0.316402809,500
"[16, 4, 16, [32], 'sigmoid']",2.225028746,8
"[16, 4, 16, [8, 4], 'tanh']",0.893325768,10
"[16, 4, 16, [8, 4], 'sigmoid']",1.579948099,10
"[16, 4, 16, [16, 8], 'tanh']",0.404095335,500
"[16, 4, 16, [16, 8], 'sigmoid']",1.732076005,16
"[16, 4, 32, [16], 'tanh']",0.542821854,12
"[16, 4, 32, [16], 'sigmoid']",2.201056533,12
"[16, 4, 32, [32], 'tanh']",0.427885403,65
"[16, 4, 32, [32], 'sigmoid']",1.44785626,7
"[16, 4, 32, [8, 4], 'tanh']",0.412259736,462
"[16, 4, 32, [8, 4], 'sigmoid']",1.922156914,15
"[16, 4, 32, [16, 8], 'tanh']",0.362500942,404
"[16, 4, 32, [16, 8], 'sigmoid']",1.591355063,8
"[16, 6, 16, [16], 'tanh']",0.993634514,40
"[16, 6, 16, [16], 'sigmoid']",1.387331793,500
"[16, 6, 16, [32], 'tanh']",0.454458643,500
"[16, 6, 16, [32], 'sigmoid']",1.412022952,10
"[16, 6, 16, [8, 4], 'tanh']",0.367730556,500
"[16, 6, 16, [8, 4], 'sigmoid']",0.922101966,22
"[16, 6, 16, [16, 8], 'tanh']",0.47601538,500
"[16, 6, 16, [16, 8], 'sigmoid']",0.732416611,20
"[16, 6, 32, [16], 'tanh']",0.320178233,26
"[16, 6, 32, [16], 'sigmoid']",1.446712623,6
"[16, 6, 32, [32], 'tanh']",0.769392713,176
"[16, 6, 32, [32], 'sigmoid']",1.496895918,6
"[16, 6, 32, [8, 4], 'tanh']",0.393026869,21
"[16, 6, 32, [8, 4], 'sigmoid']",1.148424071,8
"[16, 6, 32, [16, 8], 'tanh']",0.557954166,22
"[16, 6, 32, [16, 8], 'sigmoid']",2.464623455,13
"[22, 2, 16, [16], 'tanh']",1.173410977,6
"[22, 2, 16, [16], 'sigmoid']",1.356645509,12
"[22, 2, 16, [32], 'tanh']",0.340658614,500
"[22, 2, 16, [32], 'sigmoid']",0.785057046,17
"[22, 2, 16, [8, 4], 'tanh']",0.888169803,16
"[22, 2, 16, [8, 4], 'sigmoid']",0.691007502,20
"[22, 2, 16, [16, 8], 'tanh']",0.778837006,16
"[22, 2, 16, [16, 8], 'sigmoid']",0.613084272,21
"[22, 2, 32, [16], 'tanh']",0.305268866,38
"[22, 2, 32, [16], 'sigmoid']",2.576840686,10
"[22, 2, 32, [32], 'tanh']",0.479015284,6
"[22, 2, 32, [32], 'sigmoid']",0.940208168,25
"[22, 2, 32, [8, 4], 'tanh']",0.700732562,46
"[22, 2, 32, [8, 4], 'sigmoid']",1.05659282,16
"[22, 2, 32, [16, 8], 'tanh']",0.457898386,31
"[22, 2, 32, [16, 8], 'sigmoid']",0.333292553,145
"[22, 4, 16, [16], 'tanh']",0.972765666,32
"[22, 4, 16, [16], 'sigmoid']",1.100140846,500
"[22, 4, 16, [32], 'tanh']",0.34068932,500
"[22, 4, 16, [32], 'sigmoid']",0.817639262,14
"[22, 4, 16, [8, 4], 'tanh']",1.169867166,8
"[22, 4, 16, [8, 4], 'sigmoid']",0.538713582,18
"[22, 4, 16, [16, 8], 'tanh']",0.91627141,54
"[22, 4, 16, [16, 8], 'sigmoid']",0.854860248,18
"[22, 4, 32, [16], 'tanh']",0.331901612,12
"[22, 4, 32, [16], 'sigmoid']",2.461825639,6
"[22, 4, 32, [32], 'tanh']",0.608686098,6
"[22, 4, 32, [32], 'sigmoid']",0.621757103,11
"[22, 4, 32, [8, 4], 'tanh']",0.518058484,51
"[22, 4, 32, [8, 4], 'sigmoid']",1.217449573,9
"[22, 4, 32, [16, 8], 'tanh']",0.469180215,255
"[22, 4, 32, [16, 8], 'sigmoid']",0.305966899,500
"[22, 6, 16, [16], 'tanh']",0.501254183,500
"[22, 6, 16, [16], 'sigmoid']",0.408581544,38
"[22, 6, 16, [32], 'tanh']",0.332014481,500
"[22, 6, 16, [32], 'sigmoid']",1.006362567,9
"[22, 6, 16, [8, 4], 'tanh']",1.437007615,36
"[22, 6, 16, [8, 4], 'sigmoid']",1.29052907,17
"[22, 6, 16, [16, 8], 'tanh']",0.310142428,500
"[22, 6, 16, [16, 8], 'sigmoid']",1.639048149,25
"[22, 6, 32, [16], 'tanh']",0.313287391,12
"[22, 6, 32, [16], 'sigmoid']",2.319035282,12
"[22, 6, 32, [32], 'tanh']",0.387620307,45
"[22, 6, 32, [32], 'sigmoid']",0.441388045,19
"[22, 6, 32, [8, 4], 'tanh']",0.580209885,10
"[22, 6, 32, [8, 4], 'sigmoid']",1.19316264,13
"[22, 6, 32, [16, 8], 'tanh']",0.501879874,393
"[22, 6, 32, [16, 8], 'sigmoid']",0.313082587,500
"[26, 2, 16, [16], 'tanh']",1.020439039,52
"[26, 2, 16, [16], 'sigmoid']",1.167505696,9
"[26, 2, 16, [32], 'tanh']",0.854978626,262
"[26, 2, 16, [32], 'sigmoid']",0.771721774,10
"[26, 2, 16, [8, 4], 'tanh']",1.132449074,14
"[26, 2, 16, [8, 4], 'sigmoid']",0.420698253,36
"[26, 2, 16, [16, 8], 'tanh']",0.957205563,11
"[26, 2, 16, [16, 8], 'sigmoid']",1.048389102,13
"[26, 2, 32, [16], 'tanh']",0.316273615,14
"[26, 2, 32, [16], 'sigmoid']",2.436164835,15
"[26, 2, 32, [32], 'tanh']",0.38259338,34
"[26, 2, 32, [32], 'sigmoid']",1.626954312,6
"[26, 2, 32, [8, 4], 'tanh']",0.514796368,31
"[26, 2, 32, [8, 4], 'sigmoid']",0.844930002,11
"[26, 2, 32, [16, 8], 'tanh']",0.435687331,327
"[26, 2, 32, [16, 8], 'sigmoid']",1.363135313,8
"[26, 4, 16, [16], 'tanh']",0.725634565,500
"[26, 4, 16, [16], 'sigmoid']",0.964490652,10
"[26, 4, 16, [32], 'tanh']",1.110042351,51
"[26, 4, 16, [32], 'sigmoid']",0.845099526,14
"[26, 4, 16, [8, 4], 'tanh']",0.985142424,40
"[26, 4, 16, [8, 4], 'sigmoid']",1.689614632,17
"[26, 4, 16, [16, 8], 'tanh']",1.199392352,40
"[26, 4, 16, [16, 8], 'sigmoid']",0.377182487,23
"[26, 4, 32, [16], 'tanh']",0.307468635,500
"[26, 4, 32, [16], 'sigmoid']",2.377450569,12
"[26, 4, 32, [32], 'tanh']",0.324208081,29
"[26, 4, 32, [32], 'sigmoid']",0.939326162,8
"[26, 4, 32, [8, 4], 'tanh']",0.31802041,500
"[26, 4, 32, [8, 4], 'sigmoid']",0.677742647,298
"[26, 4, 32, [16, 8], 'tanh']",0.629897968,105
"[26, 4, 32, [16, 8], 'sigmoid']",0.406553837,500
"[26, 6, 16, [16], 'tanh']",1.174410207,40
"[26, 6, 16, [16], 'sigmoid']",0.949120086,9
"[26, 6, 16, [32], 'tanh']",1.616017141,16
"[26, 6, 16, [32], 'sigmoid']",0.881810266,16
"[26, 6, 16, [8, 4], 'tanh']",0.583840537,500
"[26, 6, 16, [8, 4], 'sigmoid']",1.712662605,11
"[26, 6, 16, [16, 8], 'tanh']",0.476431641,500
"[26, 6, 16, [16, 8], 'sigmoid']",0.790696787,15
